Concepts,Text,Refrences,def,Keywords,Synonyms,Predicate,Object
decision making,"decision-making techniques that can be used to select a risk response strategy include but are not limited to multicriteria decision analysis (described in section 8.1.2.4). one or more risk response strategies may be under consideration. decision-making techniques can help prioritize risk response strategies. multicriteria decision analysis uses a decision matrix to provide a systematic approach for establishing key decision criteria, evaluating and ranking alternatives, and selecting a preferred option. criteria for risk response selection may include but are not limited to cost of response, likely effectiveness of response in changing probability and/or impact, resource availability, timing constraints (urgency, proximity, and dormancy), level of impact if the risk occurs, effect of response on related risks, introduction of secondary risks, etc. different strategies may be selected later in the project if the original choice proves to be ineffective.", sections/8.1.2.4_page319.png,"This chapter discusses some of the decision-making techniques used in risk response management. Some of the most common decisions are made using a decision Matrix, which is a set of multiple decision-collection tools that helps you develop a clearer picture of an entire situation.","['risk response strategies multicriteria', 'evaluating ranking', 'occurs effect response', 'selected later', 'changing probability andor', 'dormancy level', 'resource availability timing', 'approach establishing key', 'project original choice proves', 'matrix provide', 'limited cost', 'techniques help', '8124']","['The decision making process is based on the DECISION MAKING.', 'Decision making: A DECISION MAKING a DEcision.', 'A DECISION MAKING DISCUSSION, AND THE DEcision Is Making Decision No.', 'Decision MAKING: DECISION MAking: de jure decision making.', 'DECISION MAKING A DEcision DEXAM.']",facet of,risks
change requests,described in section 4.3.3.4. planned risk responses may result in a change request to the cost and schedule baselines or other components of the project management plan. change requests are processed for review and disposition through the perform integrated change control process (section 4.6)., sections/4.3.3.4_page132.png,A change request from a risk manager is considered only if the risk is significant enough to justify the project's cost and schedule base.,"['planned risk responses', 'perform integrated change control', 'baselines components', 'request']","['Change requests are subject to change.', 'Change requests can be made through CHANGE REQUESTS.', 'Alteration requests - PLEASE NOTE: MODE REQUESTS IS NECESSARY.', 'MODIFICATION CHANGE REQUESTS FOR ADDITIONAL RIGHTS.', 'CHANGE REQUESTS FOR ADDING Changes REQUIREMENTS.']",facet of,change control process
project management plan updates,"any change to the project management plan goes through the organization’s change control process via a change request. components that may require a change request for the project management plan include but are not limited to: schedule management plan. described in section 6.1.3.1. changes to the schedule management plan, such as changes to resource loading and leveling, or updates to the schedule strategy, are incorporated. cost management plan. described in section 7.1.3.1. changes to the cost management plan, such as changes to cost accounting, tracking, and reports, as well as updates to the budget strategy and how contingency reserves are consumed, are incorporated. quality management plan. described in section 8.1.3.1. changes to the quality management plan, such as changes to approaches for meeting requirements, quality management approaches, or quality control processes, are incorporated. resource management plan. described in section 9.1.3.1. changes to the resource management plan, such as changes to resource allocation, as well as updates to the resource strategy, are incorporated. procurement management plan. described in section 12.1.3.1. changes to the procurement management plan, such as alterations in the make-or-buy decision or contract type(s), are incorporated. scope baseline. described in section 5.4.3.1. changes in the scope baseline are incorporated in response to approved changes in scope that may arise from agreed-upon risk responses. schedule baseline. described in section 6.5.3.1. changes in the schedule baseline are incorporated in response to approved changes in schedule estimates that may arise from agreed-upon risk responses. cost baseline. described in section 7.3.3.1. changes in the cost baseline are incorporated in response to approved changes in cost estimates that may arise from agreed-upon risk responses. "," sections/6.1.3.1_page217.png, sections/7.1.3.1_page274.png, sections/8.1.3.1_page322.png, sections/9.1.3.1_page354.png, sections/12.1.3.1_page511.png, sections/5.4.3.1_page197.png, sections/6.5.3.1_page253.png, sections/7.3.3.1_page290.png","The project management plan is described in this chapter as a set of ""components"" that must be included in the organization's control process for making changes to the plan. These include, but do not limit the types of changes that can be made within the scope, schedule, cost, quality, and resource management plans.","['changes resource management plan', 'project management', 'response approved changes scope', 'meeting requirements quality', 'reserves consumed incorporated quality', '8131 changes quality management', 'plan described section 12131', 'agreedupon risk responses schedule', 'strategy incorporated procurement management', 'accounting tracking reports', 'processes incorporated', 'decision contract types', 'alterations', 'scope arise', 'updates budget', 'include limited', 'estimates', 'loading leveling updates', 'request components', 'incorporated cost', 'contingency', 'control', 'responses cost', 'baseline', '7331', 'makeorbuy', 'goes']","['A PROJECT MANAGEMENT PLAN UPDATES FOR MODEL PRACTICE?', 'PROJECT MANAGEMENT PLAN UPDATES FOR A PROBED MODEL PRACTICE?', 'UPDATES FOR PROJECT MANAGEMENT PLAN INTEGRATION OF SUBMISSION AND PRODUCING MODELS.', 'The Project Management Plan updates and outlines the latest updates to improve project management plans.', 'Project Management PLAN UPDATES FOR PROJECT MANAGEMENT PLICING.']",facet of,project risk
project documents updates,"project documents that may be updated as a result of carrying out this process include but are not limited to: assumption log. described in section 4.1.3.2. during the plan risk responses process, new assumptions may be made, new constraints may be identiﬁed, and existing assumptions or constraints may be revisited and changed. the assumption log should be updated with this new information. cost forecasts. described in section 7.4.3.2. cost forecasts may change as a result of planned risk responses. lessons learned register. described in section 4.4.3.1. the lessons learned register is updated with information about risk responses that may be useful for future phases of the project or future projects. project schedule. described in section 6.5.3.2. activities relating to agreed-upon risk responses may be added to the project schedule. project team assignments. described in section 9.3.3.2. once the responses are conﬁrmed, the necessary resources should be allocated to each action associated with a risk response plan. these resources include suitably qualiﬁed and experienced personnel to execute the agreed-upon action (usually within the project team) a speciﬁc budget and time allowance for the action, and any required technical resources to complete the action. risk register. described in section 11.2.3.1. the risk register is updated when appropriate risk responses are chosen and agreed upon. updates to the risk register may include but are not limited to:un agreed-upon response strategies;un speciﬁc actions to implement the chosen response strategy;un trigger conditions, symptoms, and warning signs of a risk occurrence;un budget and schedule activities required to implement the chosen responses;un contingency plans and risk triggers that call for their execution;un fallback plans for use when a risk that has occurred and the primary response proves to be inadequate;un residual risks that are expected to remain after planned responses have been taken, as well as those that have been deliberately accepted; andun secondary risks that arise as a direct outcome of implementing a risk response. risk report. described in section 11.2.3.2. the risk report may be updated to present agreed-upon responses to the current overall project risk exposure and high-priority risks, together with the expected changes that may be expected as a result of implementing these responses.","captures/page_55_image_1.png ,
captures/page_55_image_2.png ,
captures/page_55_image_3.png ,
captures/page_55_image_4.png sections/4.1.3.2_page117.png, sections/7.4.3.2_page305.png, sections/4.4.3.1_page140.png, sections/6.5.3.2_page253.png, sections/9.3.3.2_page370.png, sections/11.2.3.1_page453.png, sections/11.2.3.2_page454.png",The risk report is an updated version of the project's risk management plan that identifies and accounts for changes in the risk exposure and potential for recovery.,"['risk responses added project', 'register updated information risk', 'section 6532 activities', 'occurrence budget schedule activities', 'assumption log described section', 'new constraints identiﬁed existing', 'team assignments', 'outcome implementing', 'resources allocated', 'plan', 'process include', 'execute agreedupon action usually', 'technical resources', 'report described', 'expected changes expected', 'forecasts', 'learned register described', 'suitably qualiﬁed experienced personnel', '7432 cost', 'documents updated result carrying', 'conﬁrmed necessary', 'limited', 'phases', 'time allowance', 'lessons learned', 'accepted secondary', 'responses current overall', 'added', 'triggers execution fallback', 'proves inadequate residual', 'arise direct', 'symptoms', 'exposure highpriority', 'remain', 'agreed', 'taken deliberately', 'usually']","['Project projects are subject to project document submissions and updates.', 'Projet projects are subject to project documentation, project status updates, and citations.', 'Project DOCUMENTS and UPDATES are the cornerstone of project documentation, but project documents also require updates.', 'PROJECT DOCUMENTS UPDATES AND MODERNS OF PROJETS.', 'WORKING PROJECT DOCUMENTS AND SUPPLEMENTATION IN THE PROGRAMME.']",has part,project team
implement risk responses,"implement risk responses is the process of implementing agreed-upon risk response plans. the key beneﬁt of this process is that it ensures that agreed-upon risk responses are executed as planned in order to address overall project risk exposure, minimize individual project threats, and maximize individual project opportunities. this process is performed throughout the project. the inputs, tools and techniques, and outputs of the process are depicted in figure 11-18. figure 11-19 depicts the data ﬂow diagram for the process.figure 11-18. implement risk responses: inputs, tools & techniques, and outputs figure 11-19. implement risk responses: data flow diagramtools & techniquesinputsoutputs.1 expert judgment.2 interpersonal and team skills• influencing.3 project management   information system.1 project management plan• risk management plan.2 project documents• lessons learned register• risk register• risk report.3 organizational process assets.1 change requests.2 project documents updates• issue log• lessons learned register• project team assignments• risk register• risk reportimplement risk responses• project   charter11.6implement  risk responsesenterprise/organization4.6performintegratedchange controlproject documents updates• lessons learned register• issue log• project team assignments• risk register• risk report• change requestsproject management plan• risk management planproject documents• lessons learned register• risk register• risk report• organizational process assetsprojectmanagementplanprojectdocumentsprojectdocuments proper attention to the implement risk responses process will ensure that agreed-upon risk responses are actually executed. a common problem with project risk management is that project teams spend effort in identifying and analyzing risks and developing risk responses, then risk responses are agreed upon and documented in the risk register and risk report, but no action is taken to manage the risk.only if risk owners give the required level of effort to implementing the agreed-upon responses will the overall risk exposure of the project and individual threats and opportunities be managed proactively.", ,"This chapter describes the process for implementing risk response plans, which is described in this paper. It's important to note that this process isn't all that different from other risk management processes; it's actually quite similar. In other words, risk management is just a bunch of fancy-pants stuff that doesn't really work.","['risk responses process implementing', 'individual project opportunities process', 'implementing agreedupon', 'project documents updates', 'management information', 'report change requests', 'plans key', 'perform integrated', 'team skills influencing', 'threats maximize', 'flow diagram tools', 'required level', 'effort identifying', 'proper attention implement', 'managed proactively', 'charter 116 implement', 'log lessons', 'change control', 'responses agreed', 'assets', 'organization 46 perform', 'inputs outputs', '1118 figure 1119 depicts', 'judgment interpersonal', 'ﬂow', 'order address overall', 'register issue', 'exposure minimize', 'actually executed', 'common']","['ImpLosure risks and uncertainties are responsible for IMPLEMENT risk RESPONSES.', 'Improving risk responsibilities is an important task, but it also involves risks.', 'Risk responsibilities in the impact of change are responsible for all parties involved.', 'The responsibility for the risk involved in certain IMPLEMENT RISK REPONSES is placed on the individual responsible for this issue.', 'IMPLEMENT RISK RESPONSES PONSECHS MANAGEMENTS OF IMPROVEMENT Risk REASONS FOR THE MOST COMMUNITY.']",studied by,risk management
project management plan,"described in section 4.2.3.1. project management plan components include but are not limited to the risk management plan. described in section 11.1.3.1, the risk management plan lists the roles and responsibilities of project team members and other stakeholders for risk management. this information is used when allocating owners for agreed-upon risk responses. the risk management plan also deﬁnes the level of detail for the risk management methodology for the project. it also speciﬁes risk thresholds for the project based on the risk appetite of key stakeholders, which deﬁne the acceptable target that the implementation of risk responses is required to achieve."," sections/4.2.3.1_page122.png, sections/11.1.3.1_page441.png",This chapter describes the role and responsibilities that project members and other stakeholders will play in establishing a risk management plan for the proposed project.,"['stakeholders risk management information', 'plan deﬁnes', 'components include limited', 'team members', 'target implementation', 'used allocating owners', 'thresholds', 'appetite key', '11131', 'agreedupon']","['The PROJECT MANAGEMENT PLAN is designed to manage projects of different sizes and types.', 'Proposed Project Management PLAN as a PROJECT MANAGEMENT PUNCH.', 'Project Management PLAN for PROJECT MANAGEMENT PLOT.', 'PROJECT MANAGEMENT PLAN FOR PROBABILITY and PROBLEM PRACTICE.', 'A PROJECT MANAGEMENT PLAN THAT CANNOT BE FORCEED IN THE PROGRAMME OF PROBABILITY?']",facet of,project risk
project documents,"project documents that can be considered as inputs for this process include but are not limited to: lessons learned register. described in section 4.4.3.1. lessons learned earlier in the project with regard to implementing risk responses can be applied to later phases in the project to improve the effectiveness of this process. risk register. described in section 11.2.3.1. the risk register records the agreed-upon risk responses for each individual risk and the nominated owners for each response plan. risk report. described in section 11.2.3.2. the risk report includes an assessment of the current overall project risk exposure, as well as the agreed-upon risk response strategy. it also describes the major individual project risks with their planned responses."," sections/4.4.3.1_page140.png, sections/11.2.3.1_page453.png, sections/11.2.3.2_page454.png",The risk report describes the current overall risks exposure as well as a agreed-on response strategy for each risk. The risk reports also describe the major individual risk responses with their proposed responses.,"['project risks planned responses', 'section 4431 lessons learned', 'documents considered', 'nominated owners response', 'applied later', 'effectiveness', 'inputs process include limited', 'register records', 'describes', 'agreedupon', 'current overall']","['The project documents are part of the Project Documents.', 'PROJECT DOCUMENTS FROM PRO JOURNAL INTERVIEW WORKS ONLINE.', 'Project DOCUMENTS FROM PROJECT DOKUMENT SENT WHICH PROVEN AS PROJETS.', 'DOCUMENTS FROM PROJECT DOKUMENT SENT WHICH PROVEN AS PROJECUTION BY PROBLIMATIONALE.', 'Project DOCUMENTS FOR PROJECT DATA.']",has part,project team
organizational process assets,the organizational process assets that can inﬂuence the implement risk responses process include but are not limited to the lessons learned repository from similar completed projects that indicate the effectiveness of particular risk responses., ,This paper discusses the use of lessons learned repost from similar completed risk response projects to inform the risk response process.,"['risk responses process include', 'limited lessons learned repository', 'similar']","['The ORGANIZATIONAL PROCESS ASSETS ARE THERE.', 'ORGANIZATIONAL PROCESS ASSETS AND ORGANIC PRODUCTION ALERT PROSE SUBMISSION.', 'Occupational PROCESS ASSETS ORGANIZATIONAL PRODUCTION AND ORGANICITY PROSECT ASSISTANTS.', 'ORGANIZATIONAL PROCESS RESISTENTS AND OR GENERAL PRODUCTION SOFTSETS.', 'OrgANIZEAL PROCESS ASSETS AND ORGANIZATIONALPROCEDIAL processes.']",part of,organizational process
expert judgment,"described in section 4.1.2.1. expertise should be considered from individuals or groups with specialized knowledge to validate or modify risk responses if necessary, and decide how to implement them in the most efﬁcient and effective manner.", sections/4.1.2.1_page115.png,"In this section, the focus is on describing how expertise can be used to support decision making.","['described section 4121 expertise', 'validate modify risk', 'efﬁcient effective manner']","['The EXPERT JUDGMENT is an example of E RADICAL JUGUGUST.', 'PERT JUDGMENT EXPERTS JUDICTION.', 'EXPERT JUDGMENT EFFECTUAL JUGUGMENT – EARNER JUCGEMENT BY CONFORDENCE AND GENERAL JUSTICE, AFGUSTMENT JUAGS MODERN JUJARS POLISH.', 'EXPERT JUDGMENT – EFFECT JUAGS (ETJ) FUNDER JUGUG 1927-ExpETERED JUST GUARANTEES.', 'In the EXPERT JUDGMENT, E if any ExPERP JODGment is an Element JUGMENT?']",subclass of,knowledge
interpersonal and team skills,interpersonal and team skills that can be used for this process include but are not limited to inﬂuencing. some risk response actions may be owned by people outside the immediate project team or who have other competing demands. the project manager or person responsible for facilitating the risk process may need to exercise inﬂuencing (see section 9.5.2.1) to encourage nominated risk owners to take necessary action where required., sections/9.5.2.1_page384.png,This chapter describes the role that the project manager and other people play in influencing the risk response process.,"['responsible facilitating risk process', 'team skills used', 'owned people outside immediate', 'limited inﬂuencing', 'need exercise', 'nominated']","['Both Interperssonal and Team Saskatchewan are interpenetrators, with InterraPERSONAL being a more serious matter and team spirit also working together.', 'INTEPERSONAL and TEAM SKILLS, INTERPERFORMANCE AND TABLEAUX.', 'The interpersonal game and the team SKILLS program are both interpersive and team-building, with InterraPERSONAL and TEAM KSILLs being more involved.', 'InterPERSONAL and TEAM SKILLS, INTERPERFORMANCE AND TEEN POWER.', 'InTERPERSONAL AND TEAM SKILLS.']",subclass of,interpersonal
project management information system ,"described in section 4.3.2.2. project management information systems can include schedule, resource, and cost software to ensure that agreed-upon risk response plans and their associated activities are integrated into the project alongside other project activities. ", sections/4.3.2.2_page131.png,This chapter describes project management information systems.,"['section 4322 project management', 'ensure agreedupon risk response', 'schedule resource cost']","['Project Management Information System for PROJECT MANAGEMENT INFORMATION SYSTEM.', 'Projection Project Management Information SystemTEM PROJECT MANAGEMENT INFORMATION SYSTEM PRACTICALLY.', 'A Project Management Information System is a software program that helps in project management by improving productivity and capacity.', 'The PROJECT MANAGEMENT INFORMATION SYSTEM is designed to manage PROBABILITY and PROBLEMS in the process of project management.', 'PROJECT MANAGEMENT INFORMATION SYNDICATION FOR PROBLISM INTERNET PROCESS DESIGN?']",has part,project team
change requests,described in section 4.3.3.4. implementation of risk responses may result in a change request to the cost and schedule baselines or other components of the project management plan. change requests are processed for review and disposition through the perform integrated change control process (section 4.6). , sections/4.3.3.4_page132.png,This section describes the process for approving changes to the project plan.,"['management plan change requests', 'risk responses result', 'baselines components', '4334']","['Change requests are subject to change.', 'Change requests can be made through CHANGE REQUESTS.', 'Alteration requests - PLEASE NOTE: MODE REQUESTS IS NECESSARY.', 'MODIFICATION CHANGE REQUESTS FOR ADDITIONAL RIGHTS.', 'CHANGE REQUESTS FOR ADDING Changes REQUIREMENTS.']",facet of,change control process
project documents updates,"project documents that may be updated as a result of carrying out this process include but are not limited to: issue log. described in section 4.3.3.3. where issues are identiﬁed as part of the implement risk responses process, they are recorded in the issue log. lessons learned register. described in section 4.4.3.1. the lessons learned register is updated with information on challenges encountered when implementing risk responses and how they could have been avoided, as well as approaches that worked well for implementing risk responses. project team assignments. described in section 9.3.3.2. once the risk responses are conﬁrmed, the necessary resources should be allocated to each action associated with a risk response plan. these resources include suitably qualiﬁed and experienced personnel to execute the agreed-upon action (usually within the project team), a speciﬁc budget and time allowance for the action, and any required technical resources to complete the action. risk register. described in section 11.2.3.1. the risk register may be updated to reﬂect any changes to the previously agreed-upon risk responses for individual project risks that are subsequently made as a result of the implement risk responses process. risk report. described in section 11.2.3.2. the risk report may be updated to reﬂect any changes to the previously agreed-upon risk response to overall project risk exposure that are subsequently made as a result of the implement risk responses process.","captures/page_59_image_1.png ,
captures/page_59_image_2.png ,
captures/page_59_image_3.png sections/4.3.3.3_page132.png, sections/4.4.3.1_page140.png, sections/9.3.3.2_page370.png, sections/11.2.3.1_page453.png, sections/11.2.3.2_page454.png","As a part of the risk response process, each risk response is recorded in the risk register. Lessons learned are also included in this register, which details how best to avoid and respond to risk events as they occur.","['risk response overall project', 'experienced personnel execute agreedupon', 'section 4333 issues', 'reﬂect changes', 'team assignments', 'action associated', 'process include', 'register updated', 'avoided approaches worked implementing', 'documents', 'required technical resources', 'plan', 'allocated', 'log described', 'updated result carrying', 'lessons learned', 'responses individual', '11232', 'budget time allowance', 'exposure subsequently result', 'qualiﬁed', 'usually']","['Project projects are subject to project document submissions and updates.', 'Projet projects are subject to project documentation, project status updates, and citations.', 'Project DOCUMENTS and UPDATES are the cornerstone of project documentation, but project documents also require updates.', 'PROJECT DOCUMENTS UPDATES AND MODERNS OF PROJETS.', 'WORKING PROJECT DOCUMENTS AND SUPPLEMENTATION IN THE PROGRAMME.']",has part,project team
monitor risks,"monitor risks is the process of monitoring the implementation of agreed-upon risk response plans, tracking identiﬁed risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout the project. the key beneﬁt of this process is that it enables project decisions to be based on current information about overall project risk exposure and individual project risks. this process is performed throughout the project. the inputs, tools and techniques, and outputs of the process are depicted in figure 11-20. figure 11-21 depicts the data ﬂow diagram for the process.figure 11-20. monitor risks: inputs, tools & techniques, and outputstools & techniquesinputsoutputs.1 data analysis• technical performance  analysis• reserve analysis.2 audits.3 meetings.1 project management plan• risk management plan.2 project documents• issue log• lessons learned register• risk register• risk report.3 work performance data.4 work performance reports.1 work performance   information.2 change requests.3 project management plan   updates• any component.4 project documents updates• assumption log• issue log• lessons learned register• risk register• risk report.5 organizational process assets   updatesmonitor risks • project   charter4.5monitor andcontrolproject work4.3direct andmanageproject work• work performance data• work performance reports• changerequests• work performance informationproject management plan• risk management planproject documents• issue log• lessons learned register• risk register• risk reportprojectmanagementplanprojectdocumentsprojectdocuments4.5monitor andcontrolproject work4.6performintegratedchange control11.7monitorrisksproject documentsupdates• assumption log• issue log• lessons learned register• risk register• risk reportproject managementplan updates• any componentprojectmanagementplanenterprise/organization• organizational process assets updatesfigure 11-21. monitor risks: data flow diagramin order to ensure that the project team and key stakeholders are aware of the current level of risk exposure, project work should be continuously monitored for new, changing, and outdated individual project risks and for changes in the level of overall project risk by applying the monitor risks process. the monitor risks process uses performance information generated during project execution to determine if: implemented risk responses are effective, level of overall project risk has changed, status of identiﬁed individual project risks has changed, new individual project risks have arisen, risk management approach is still appropriate, project assumptions are still valid, risk management policies and procedures are being followed, contingency reserves for cost or schedule require modiﬁcation, and project strategy is still valid.",captures/page_60_image_1.png ,"The process of risk management is used throughout the project to track and analyze risks, identify and analyze new risks, develop an action plan, and evaluate risk process effectiveness. This process also enables the project team to make informed decisions about how to respond to new risks and to manage risk effectively.","['risk report project management', 'control project work 46', 'analysis technical performance analysis', 'work continuously monitored new', 'key stakeholders', 'project execution determine implemented', 'audits meetings', 'policies procedures followed', 'enterprise organization organizational process', 'modiﬁcation project', 'learned register risk', 'agreedupon risk response', 'reserve analysis', 'changing outdated individual project', 'perform integrated change', 'inputs tools techniques outputs', 'direct manage', 'information overall', 'assets', 'diagram', 'team key', 'cost schedule require', 'plan', '45 monitor', 'strategy valid', 'updates component', 'based current', 'documents issue', 'charter', 'effective level overall', 'order ensure', '1121', 'exposure individual', 'aware', 'requests work performance', 'assumption log issue log', 'changed new', 'beneﬁt', 'performed']","['Tracking hazard levels to identify potential risks.', 'Identify areas with high risk factors.', 'Monitor haze warnings.', 'SEEK RISKS MONITORING TO monitor and identify potential dangers.', 'Identify patterns of risk and monitor them to identify potential risks.']",studied by,risk management
project management plan,"described in section 4.2.3.1. project management plan components include but are not limited to the risk management plan. described in section 11.3.1.1. the risk management plan provides guidance on how and when risks should be reviewed, which policies and procedures should be followed, the roles and responsibilities in the monitoring process, and reporting formats."," sections/4.2.3.1_page122.png, sections/11.3.1.1_page457.png",This chapter describes the risk management process and provides an example of a risk management plan being used in a real estate project.,"['risk management plan described', 'monitoring process reporting formats', 'components include', 'limited', '11311']","['The PROJECT MANAGEMENT PLAN is designed to manage projects of different sizes and types.', 'Proposed Project Management PLAN as a PROJECT MANAGEMENT PUNCH.', 'Project Management PLAN for PROJECT MANAGEMENT PLOT.', 'PROJECT MANAGEMENT PLAN FOR PROBABILITY and PROBLEM PRACTICE.', 'A PROJECT MANAGEMENT PLAN THAT CANNOT BE FORCEED IN THE PROGRAMME OF PROBABILITY?']",facet of,project risk
project documents,"project documents that should be considered as inputs for this process include but are not limited to: issue log. described in section 4.3.3.3. the issue log is used to see if any of the open issues have been updated and necessitate an update to the risk register. lessons learned register. described in section 4.4.3.1. risk-related lessons from earlier in the project can be applied to later phases in the project. risk register. described in section 11.2.3.1. the risk register has key inputs that include identiﬁed individual project risks, risk owners, agreed-upon risk responses, and speciﬁc implementation actions. it may also provide other details including control actions for assessing the effectiveness of response plans, symptoms and warning signs of risk, residual and secondary risks, and a watch list of low-priority risks. risk report. described in section 11.2.3.2. the risk report includes an assessment of the current overall project risk exposure as well as the agreed-upon risk response strategy. it also describes the major individual risks with planned responses and risk owners. "," sections/4.3.3.3_page132.png, sections/4.4.3.1_page140.png, sections/11.2.3.1_page453.png, sections/11.2.3.2_page454.png","The risk register is used to track the progress of the project and to track lessons learned. It also contains a risk report, which describes the current overall risk exposure and the proposed response strategy.","['project risk register described', 'owners agreedupon risk responses', 'assessment current overall', 'documents considered inputs process', 'effectiveness response', 'process include limited issue', 'section', 'lessons earlier', 'log used open', 'strategy describes major', 'issues updated necessitate update', 'include identiﬁed individual', 'list lowpriority', 'symptoms', 'residual secondary', '4333', 'agreedupon']","['The project documents are part of the Project Documents.', 'PROJECT DOCUMENTS FROM PRO JOURNAL INTERVIEW WORKS ONLINE.', 'Project DOCUMENTS FROM PROJECT DOKUMENT SENT WHICH PROVEN AS PROJETS.', 'DOCUMENTS FROM PROJECT DOKUMENT SENT WHICH PROVEN AS PROJECUTION BY PROBLIMATIONALE.', 'Project DOCUMENTS FOR PROJECT DATA.']",has part,project team
work performance data,"described in section 4.3.3.2. work performance data contains data on project status such as risk responses that have been implemented, risks that have occurred, risks that are active and those that have been closed out.", sections/4.3.3.2_page131.png,This section describes the types of work performance information that can be collected from a project.,"['project status risk responses', '4332 work', 'data contains data']","['Work performance data for WORK PERFORMANCE DATA.', 'WORK PRACTICE PERFORMANCE DATA.', 'Work performance DATAWORK: PROGRAMMING FOR EXAMINATION AND CONTENT PRACTICE', 'Data analysis of WORK PRACTICE PERFORMANCE DATA.', 'Working through performance data, the work performance PERFORMANCE (WORK INTEGRATION) DATA.']",subclass of,project status
work performance reports,"described in section 4 5.3.1. work performance reports provide information from performance measurements that can be analyzed to provide project work performance information including variance analysis, earned value data, and forecasting data. this information could be relevant when monitoring performance-related risks.", ,This section describes the process for capturing and analyzing performance reports.,"['work performance reports provide', 'value data forecasting data', 'risks', '531']","['Work performance performance reports are available to help improve employee performance.', 'ADVANCED WORK PERFORMANCE REPORTS PROVIDE RELATIONS FOR HIGHEST TRAFFIC IN THE SAME EXERCISE.', 'WORK PERFORMANCE REPORTS THAT INCLUDE ACTUAL DATA, AND CONTENT PRACTICE.', 'The work performance performance reports provide an overview of how the industry is performing, as reported by its workers.', 'Work performance report data is compiled in reports such as the work performance.']",subclass of,data analysis
data analysis,"data analysis techniques that can be used for this process include but are not limited to: technical performance analysis. technical performance analysis compares technical accomplishments during project execution to the schedule of technical achievement. it requires the deﬁnition of objective, quantiﬁable measures of technical performance, which can be used to compare actual results against targets. such technical performance measures may include weight, transaction times, number of delivered defects, storage capacity, etc. deviation can indicate the potential impact of threats or opportunities. reserve analysis. described in section 7.2.2.6. throughout execution of the project, some individual project risks may occur with positive or negative impacts on budget or schedule contingency reserves. reserve analysis compares the amount of the contingency reserves remaining to the amount of risk remaining at any time in the project in order to determine if the remaining reserve is adequate. this may be communicated using various graphical representations, including a burndown chart.", sections/7.2.2.6_page281.png,This chapter describes the use of technical performance analysis to track progress against schedule. It also discusses the importance of maintaining adequate reserve during the life of the project.,"['analysis technical performance analysis', 'contingency reserves remaining risk', 'representations including burndown chart', 'project individual project risks', 'defects storage', 'budget schedule', 'process include limited', 'results targets', 'measures include weight', 'indicate potential', 'transaction times number', 'using various', 'order determine', 'negative', 'delivered']","['DATA ANALYSIS AND INTEGRATION FOR IDENTIFICATIONS.', 'ANALYSIS OF DATA FOR MODULING INTELLUENT MISAILABILITY.', 'Data ANALYSIS AND DATA INTEGRATION FOR INTELLECTUAL RESULTS.', 'The data analysis process is focused on providing insights into DATA analytics.', 'Data analysis, DATA analytics and BIG data.']",subclass of,data analysis
audits,"described in section 8.2.2.5. risk audits are a type of audit that may be used to consider the effectiveness of the risk management process. the project manager is responsible for ensuring that risk audits are performed at an appropriate frequency, as deﬁned in the project’s risk management plan. risk audits may be included during routine project review meetings or may form part of a risk review meeting, or the team may choose to hold separate risk audit meetings. the format for the risk audit and its objectives should be clearly deﬁned before the audit is conducted.", sections/8.2.2.5_page330.png,The purpose of risk management is to ensure that the project is in full compliance with its risk management plans.,"['risk audits type', 'process project manager', 'section 8225', 'meetings format', 'effectiveness', 'team', 'clearly deﬁned', 'choose hold separate', 'frequency']","['Auditures are subject to change only.', 'The audit trail is now available for AUDITS.', 'AUDITS – CLICK HERE TO VIEW MUSIC.', 'Audited AUDITS, BUYERSHIP, AUSTRALIAN ENGINEERS & COUNSELS DIRECTIONAL', 'AUDITS AND CHECKS FOR CURSORS.']",facet of,risk management
meetings,"meetings that can be used during this process include but are not limited to risk reviews. risk reviews are scheduled regularly and should examine and document the effectiveness of risk responses in dealing with overall project risk and with identiﬁed individual project risks. risk reviews may also result in identiﬁcation of new individual project risks, (including secondary risks that arise from agreed-upon risk responses), reassessment of current risks, the closing of risks that are outdated, issues that have arisen as the result of risks that have occurred, and identiﬁcation of lessons to be learned for implementation in ongoing phases in the current project or in similar projects in the future. the risk review may be conducted as part of a periodic project status meeting or a dedicated risk review meeting may be held, as speciﬁed in the risk management plan.", ,A risk review is a regular meeting that reviews the results of risk response activities and other measures taken against the project. It also serves as a means for identifying new risks and reassering existing risks.,"['projects future risk review', 'meetings used', 'implementation ongoing phases', 'reviews scheduled', 'held speciﬁed', 'outdated issues', 'reassessment current', 'used process include limited', 'regularly examine document', 'closing', 'result identiﬁcation new individual', 'periodic', 'agreedupon', 'learned']","['Gatherings of individuals are arranged in groups called MEETINGS.', 'MeetingS: MEETINGS by MARKETING (MASTER BATTLE)', 'MEETINGS: There are meetings between people who meet regularly, and there are also meetings with old friends held in the past.', 'MEETINGS ARE MADE IN MESSAGE.', 'HALLHALLMEETINGS MEETTINGS IN SESSION CIVIL HODES.']",part of,risk management plan
